transaction_id,customer_id,date,amount,method,status,note
ZKEAUDPMC2RX,C100810,29/09/2021,631.99,unknown,chargeback,auto-retry
5BGYTW6BHLVW,C101575,2018-09-27,298.03,Card,Success,
9NJBW92R9351,C100515,2022-04-25,492.93,credit,success,chargeback - disputed
9ZB8SIJ4QQ1Z,C100160,2016-03-23,462.42,card,failed,
UMWPHORCGLUF,C100084,2016-01-08,284.6,BACS,failed,ref: ABC123
DTBA3659PMS9,C101169,03.11.2018,387.84,BACS,refunded,ref: ABC123
XYOHSG2VXSP0,C100359,20220418,690.19,credit,refunded,
W5Z0ZT0AFXSY,C101683,11-Jul-2019,197.52,unknown,failed,śpec!al
STDXC1YRGRZW,C100712,11-Apr-2022,484.14,BACS,success,chargeback - disputed
80UVG7KEMBP1,C100113,2023/11/28,506.95,BACS,failed,śpec!al
T75C74ZI2U8Y,C100369,02.01.2018,341.3,credit,failed,partial
061TMVREFUUG,C100016,2021-11-21,154.43,cash,failed,auto-retry
28WN8CHTQAVP,C101541,04/07/2020,271.76,BACS,failed,partial
KMS5YSAKN6X6,C100117,2020-04-13,303.14,unknown,refunded,chargeback - disputed
YUS37UOBANSV,C100631,21/09/2017,1114.61,bank_transfer,Success,śpec!al
LF574ZKSIJ0L,C100642,06-Feb-2017,54.09,BACS,success,auto-retry
AMD7YICY6OS5,C100306,07-02-2020,412.4,BACS,pending,
32M1SIN5L7QW,C100088,30-Apr-2020,467.65,cash,failed,partial
YPHW9WPQ6L95,C100462,05-08-2019,100.33,unknown,Success,śpec!al
WVUH3ERS2LCI,C100894,10-Jan-2018,150.56,credit,success,chargeback - disputed
V1CKFAKBKCVT,C101654,20190531,503.88,BACS,success,auto-retry
DV9WZFFAWPCY,C101540,05/05/2020,259.39,credit,pending,śpec!al
6UG3WLBJ2A1X,C100043,20.06.2022,139.0,card,Success,auto-retry
4JDNIW3IO1W3,C101012,14.11.2022,111.79,card,failed,ref: ABC123
6PPS2LVA0CVH,C101534,2021/08/31,356.05,cash,Success,partial
JFF5QL14FWJW,C100525,2018/10/09,214.72,BACS,refunded,ref: ABC123
5CKLE1TLJEB7,C101278,16/12/2017,431.71,credit,success,auto-retry
CLSBX6YMVMRP,C100682,08-11-2024,"EUR 556,12",unknown,chargeback,śpec!al
2LKL3VYQGA6F,C100969,29-Jul-2016,360.61,ideal,Success,auto-retry
M2WDUDI2LYI3,C100394,20241009,226.8,credit,success,śpec!al
QA9SP62G9NGE,C101242,20230309,399.83,unknown,chargeback,śpec!al
KQC11W04VIL3,C101742,2025/04/27,131.49,bank_transfer,pending,śpec!al
JYRYSUJ2N7UI,C101316,12-Jun-2016,268.35,cash,success,śpec!al
VK110TYVVTRK,C94786,09-Sep-2019,529.13,BACS,Success,auto-retry
RKIKWZ0TB87C,C100861,08-09-2022,272.99,cash,success,ref: ABC123
D9PTU372VJH6,C100874,2017/05/20,243.54,cash,failed,śpec!al
1F0KYU4WKORV,C101696,06/05/2020,"EUR 14,31",BACS,Success,ref: ABC123
6M1OYMIBMKOS,C95274,20191111,104.16,card,failed,ref: ABC123
0JXYTMW2YL09,C101621,20220228,441.6,card,failed,chargeback - disputed
YVDMO90IJOMI,C100825,20190217,279.74,unknown,success,
19YO4AF5NWKA,C100346,2019-03-02,232.16,bank_transfer,success,auto-retry
58L932SF790Z,C102113,2017/10/06,119.51,credit,failed,ref: ABC123
BPJ4P4TUNTBV,C101594,11-Jul-2023,909.86,unknown,refunded,chargeback - disputed
0WR6CUAYZ4CM,C101886,2021/03/02,183.53,card,pending,ref: ABC123
9LDP13KLVRVK,C101474,04-May-2018,247.87,BACS,success,ref: ABC123
9ROG9PQ7PZNG,C100687,10-Dec-2022,120.87,Card,success,chargeback - disputed
ECCL5BXT85NT,C100607,20200422,"EUR 249,17",Card,chargeback,chargeback - disputed
M5D326A5SF03,C100692,12-04-2020,245.7,ideal,pending,chargeback - disputed
FBLKL4AKI3WM,C101763,26-Mar-2021,"EUR 51,46",unknown,chargeback,auto-retry
YJ2CWEB8EBMQ,C100949,20200210,346.32,card,success,
V3V3T1WM1Y5N,C100385,23/11/2019,291.62,credit,success,
O4SA9APNNANQ,C101074,01/11/2024,242.62,card,success,partial
O6GVE4QVRFQE,C101631,20201229,187.43,BACS,pending,śpec!al
JB0MM9PGND47,C100909,23/07/2017,97.35,BACS,failed,chargeback - disputed
30T40URQQYTK,C100493,2019/07/26,374.21,card,success,ref: ABC123
964UTGND2MEI,C101992,20211219,"EUR 258,66",cash,success,partial
S1DTZ6VVXULC,C101411,20171025,132.92,card,refunded,śpec!al
R4JRREYIYA23,C102180,20240717,443.47,bank_transfer,Success,ref: ABC123
MHB03HQYUZY5,C101664,05.04.2016,140.39,card,Success,śpec!al
GNUTCWBXPHWZ,C101704,02-13-2023,1031.98,unknown,refunded,śpec!al
N28BV4DV3YUS,C100291,20241129,256.82,ideal,chargeback,chargeback - disputed
W5U8WT17XVQV,C100680,20210826,484.15,Card,Success,chargeback - disputed
434YWUKBY5WJ,C102058,20220308,73.43,unknown,refunded,chargeback - disputed
IWXMVYEKP4L9,C101791,16.03.2024,199.45,unknown,chargeback,auto-retry
MMOJKHDZUSHQ,C101717,08/08/2024,135.23,BACS,chargeback,śpec!al
3ZBMW6PBL0AE,C101784,20200628,130.46,credit,success,partial
P6MMXPK2D5PR,C101523,03-12-2018,249.63,Card,chargeback,
645P039WBRQG,C101513,11/08/2020,343.64,Card,failed,partial
96QR6LYWAV2B,C100859,12/05/2020,387.38,card,failed,partial
J5Q6B53A7M6P,C100971,20170715,423.38,BACS,pending,ref: ABC123
TSOX2Q4U0T96,C100484,14/11/2019,82.13,BACS,pending,chargeback - disputed
C6S5YLO3233I,C100493,2020/05/24,1179.85,credit,refunded,
N5U5N0YSAJ9W,C101123,11-29-2024,290.28,card,Success,chargeback - disputed
W5A2KLSJF38G,C101583,22.02.2021,290.68,Card,chargeback,śpec!al
IH2EI3JDTX2Q,C98690,27.02.2018,213.65,credit,refunded,ref: ABC123
MQKW34NG5OJL,C102053,11-05-2017,540.13,bank_transfer,refunded,śpec!al
15BTZ7O5D5PW,C100326,17-Jan-2025,509.16,cash,refunded,auto-retry
SM7BXK3ZAA74,C101810,03-06-2021,329.35,BACS,chargeback,chargeback - disputed
ITG5KH24HMGV,C101301,2019-12-09,231.76,cash,pending,śpec!al
KKXA73BENY3X,C100410,08-16-2019,260.18,unknown,failed,
SH8IZVS0VNA8,C100874,2018/02/26,229.75,Card,Success,
KMQXPRWSHSLY,C100523,09.12.2019,"EUR 679,84",unknown,success,auto-retry
5QCQZBPWAO3C,C101963,21.01.2022,36.8,bank_transfer,failed,śpec!al
BA2J2VZEJ1MH,C100588,08-09-2018,521.3,credit,failed,auto-retry
YBX22EMN8HY4,C101591,2022/05/22,505.16,unknown,chargeback,auto-retry
2IY2V7DS83P7,C101377,2022-08-05,260.09,ideal,success,partial
RQ9WVGZ40WER,C102131,17-Jun-2021,716.92,credit,success,
F3RKERFGVG8F,C100872,27.12.2018,39.03,ideal,failed,śpec!al
M5B8R2S0JSY3,C101912,2016-04-16,76.6,cash,success,partial
3TATXEJSAJIM,C100447,21/03/2022,765.63,ideal,chargeback,auto-retry
7KFHPOTLQ161,C101394,26/08/2020,424.04,bank_transfer,pending,chargeback - disputed
9W444OG5E4B1,C100875,05/07/2022,426.44,Card,pending,partial
UXM82MUXQHK2,C100865,20250228,404.93,bank_transfer,failed,
U02QHICVJGG9,C102047,24/04/2022,603.09,unknown,success,partial
KDQBUYOAN8RF,C101718,09-16-2016,385.17,Card,success,śpec!al
UUCBNRT73588,C101876,20250422,308.36,cash,Success,partial
HOXTQ1U5FD88,C101658,06-07-2024,129.29,credit,refunded,śpec!al
74FWBB2O0Q0I,C100642,20160922,76.39,ideal,refunded,chargeback - disputed
V3DMV589DLBN,C100009,06.01.2016,"EUR 318,04",Card,chargeback,
PW95MHGXOLPF,C101216,20170304,377.31,unknown,refunded,chargeback - disputed
2O7J29VRPFXQ,C101705,18.04.2020,378.84,card,pending,śpec!al
17IWPT8MXUBL,C101405,2016-05-24,168.27,BACS,refunded,auto-retry
E1OD0PQHULNP,C101862,01.07.2025,264.49,Card,chargeback,
TRYNJSMWK6CL,C101732,20191029,100.96,credit,refunded,chargeback - disputed
XSQ1BSXXH9WP,C101440,03-21-2017,299.15,bank_transfer,chargeback,śpec!al
9ZLBWWQJC4I7,C100221,20170118,730.94,unknown,chargeback,
82LACTF6BDMR,C101972,23.02.2016,"EUR 78,81",ideal,failed,chargeback - disputed
RLRPQ8TBFTID,C101286,23-Sep-2021,"EUR 435,54",bank_transfer,Success,partial
PQICW81JTWEA,C101680,22.11.2017,137.91,ideal,failed,śpec!al
QPO8HE5COV6F,C100248,20210310,82.99,Card,failed,chargeback - disputed
KWNWFAW8AQ5F,C101351,20171109,1050.7,cash,success,partial
7V1CVS0QLMXC,C101541,22.09.2018,377.01,cash,refunded,ref: ABC123
G02YL8WCK7KC,C100370,2024-05-06,302.04,unknown,failed,śpec!al
U814XDEWWI0I,C101025,09-04-2016,405.96,BACS,refunded,
984LZRAQZFQS,C100736,08-Jan-2022,679.55,cash,failed,chargeback - disputed
BWDABNQV9IWL,C100651,2025/08/15,285.26,bank_transfer,Success,partial
DIDJBZ3GJCLS,C101704,19.05.2018,21.87,cash,pending,ref: ABC123
W0EAXEOJF33T,C101366,20230925,757.54,cash,chargeback,ref: ABC123
31XSGLTHIZL6,C101073,2025/05/23,514.03,bank_transfer,success,
72RJSZN8PZN4,C100039,2016/01/15,276.96,BACS,success,chargeback - disputed
FPRA5CYTTAKS,C98293,29.01.2020,885.95,credit,pending,partial
VW47WM6VIMQ7,C100524,29-Sep-2018,121.05,cash,Success,auto-retry
ZSXAPBNGOQUM,C101573,07-01-2019,"EUR 174,06",credit,pending,śpec!al
DRNILHOH0J2M,C101876,12/12/2016,261.58,cash,chargeback,
CWNCMN6LA1J1,C100155,20181102,52.48,Card,chargeback,auto-retry
44B6B5I4F6D4,C100498,2017-08-05,304.8,ideal,chargeback,chargeback - disputed
Y31TZ7RWVUD8,C101489,14.06.2025,60.57,bank_transfer,chargeback,
49QUXC91JQ6Q,C102057,11-17-2021,125.05,unknown,failed,chargeback - disputed
E0BM7ZO1K9A9,C101711,2024/08/24,56.29,bank_transfer,pending,chargeback - disputed
YRHS4RK668DA,C100604,2017/10/03,266.01,card,refunded,partial
RFV4IZMFJ3P5,C102197,2023-06-26,218.04,ideal,Success,ref: ABC123
GR2B0XM8L40Z,C102100,29/01/2017,330.66,Card,refunded,chargeback - disputed
X7O9UQTD99UJ,C100323,2023/02/08,283.44,BACS,Success,auto-retry
4WYC8VWBYQLL,C100092,2016-07-06,227.71,unknown,chargeback,
PIVXWRP1K4A5,C101467,30/10/2016,347.23,cash,success,ref: ABC123
T0MUK1CMBF4W,C100073,2019-12-29,270.41,unknown,chargeback,śpec!al
7T6LWWB48M22,C101183,2020-02-17,69.8,ideal,refunded,chargeback - disputed
G694B2SIZVRX,C100949,2022/03/16,1154.26,bank_transfer,pending,ref: ABC123
E46KWFGI979W,C100907,06-23-2020,157.75,card,pending,partial
2IQMF6FQLVCK,C102170,01-14-2016,"EUR 293,58",BACS,success,auto-retry
GG17N05T32KZ,C102177,01-30-2023,18.11,credit,success,
I7TT0074ILQ2,C101107,20210314,480.51,unknown,failed,
PI85ZW9QTRN1,C100508,22-May-2022,371.69,credit,refunded,auto-retry
HYE9KUA31292,C100735,20210519,32.98,bank_transfer,success,chargeback - disputed
VJTR8IZAKLO9,C100561,21/08/2018,563.93,ideal,pending,partial
X4NC3UEG9QD9,C101788,20190527,94.42,ideal,pending,śpec!al
GUC9FMHGX1SX,C101954,20181229,75.49,Card,chargeback,śpec!al
OFJZWAEM3N7F,C100754,26/05/2023,247.55,Card,refunded,
6OETRTA2EGR9,C100241,20250309,228.31,cash,refunded,chargeback - disputed
KVR0I3RC5VRF,C101253,15-Jul-2020,258.3,BACS,chargeback,auto-retry
ES51W518X8UP,C102081,30/11/2021,407.85,cash,Success,ref: ABC123
VKA9J8O821CG,C100692,02/06/2024,655.52,BACS,chargeback,śpec!al
83H05P69DC2P,C101256,22/09/2018,77.39,BACS,chargeback,ref: ABC123
7G67A0I0CYZ3,C100916,09-24-2021,164.16,BACS,failed,ref: ABC123
B8XY5P8UELC6,C96810,22/11/2022,35.61,BACS,success,
OFEP9Y077UIR,C100005,04/01/2021,279.17,ideal,pending,śpec!al
KVLQ7GUNMOTY,C100008,2023/09/01,363.89,cash,failed,ref: ABC123
X6M8JSJS63BG,C100129,29.05.2025,497.12,Card,failed,auto-retry
3NAWK755AMKL,C101565,27/06/2023,20.93,bank_transfer,Success,
SSYFZM31WRHR,C102116,2019-06-05,147.08,bank_transfer,chargeback,partial
SQDCNRM87IQQ,C101856,17-Aug-2025,357.93,card,refunded,
32FB75T1OTP0,C101926,2020-11-21,585.18,Card,failed,śpec!al
GXKRNYFF1Q3B,C102130,2021/06/27,335.72,credit,chargeback,partial
S0IW7F4038BH,C102090,2020-10-08,1186.82,BACS,Success,chargeback - disputed
J5Y8LHE81BRT,C100416,11-06-2019,"EUR 1171,34",Card,refunded,śpec!al
OZQ8I5WWBYCR,C101390,08-24-2020,336.13,Card,pending,chargeback - disputed
QMY2PP82Y84Q,C101411,04-13-2021,"EUR 132,92",ideal,success,auto-retry
WAGCMLLBSJTA,C100498,20221209,499.76,card,chargeback,śpec!al
GE0H5PSE9U2Y,C100324,2024-05-13,230.89,cash,refunded,chargeback - disputed
NGWS11H71PFD,C102181,20160610,"EUR 175,43",credit,chargeback,chargeback - disputed
8WW1PVXDIQAI,C100977,2020/11/15,200.83,Card,Success,chargeback - disputed
1IXXPD7I1OG1,C101733,20200429,822.03,Card,Success,partial
K1OVLV42IX10,C100869,23.06.2017,222.44,cash,chargeback,ref: ABC123
9XKZ1SRT6UDA,C101455,2023-03-11,546.82,cash,failed,
7OOSP541A83T,C100505,12-14-2016,1088.11,Card,refunded,ref: ABC123
6402EGTYFIUI,C101168,20230208,"EUR 357,68",credit,success,śpec!al
KIT75WLSZC5K,C101203,2022/07/11,527.45,cash,Success,partial
NEHYC03T9O8A,C101364,20250527,66.87,Card,chargeback,ref: ABC123
FTF4RTMPOKWS,C101123,28-Jun-2017,625.14,BACS,refunded,śpec!al
V5290MYNDL6H,C100605,06-20-2023,1127.73,ideal,pending,ref: ABC123
HK4ZDE66162F,C101950,10-Apr-2016,787.52,card,refunded,ref: ABC123
4RDBW6DR10TH,C100843,2016-02-21,548.68,Card,Success,śpec!al
5LN5EVLV1ENG,C100853,20-Oct-2019,515.54,BACS,failed,auto-retry
NIQI14RVYMDK,C100342,12-23-2022,548.44,cash,failed,auto-retry
63KLWS3WBVPM,C100835,20220807,267.39,unknown,refunded,
W88X8ZUUZ87P,C100694,12-25-2024,261.95,unknown,chargeback,ref: ABC123
QOH1EV0P45KP,C101266,16.01.2024,118.48,ideal,pending,auto-retry
9IIF9N8FW1CB,C100270,03.08.2024,240.74,Card,refunded,ref: ABC123
GPSSEWJDM90O,C101138,2019/11/10,801.34,card,refunded,ref: ABC123
R5LZ50FCON8K,C101881,2016-07-20,250.48,BACS,failed,
WV8MYFK9OJ7I,C102018,20240919,288.44,Card,failed,
AKQWK5QK7WUG,C100198,06/11/2022,381.8,ideal,pending,
9OY0EP986LSG,C101780,22-Oct-2020,256.12,cash,success,
2LVARF9XKIP0,C100983,04.08.2021,212.63,ideal,chargeback,ref: ABC123
FYUMO5JGIFXC,C101123,2020-05-19,290.28,unknown,success,auto-retry
F5QVEDT5F7MJ,C101653,22-Jun-2020,56.31,BACS,refunded,chargeback - disputed
12CK87LVROLU,C102034,2017/10/07,208.22,cash,chargeback,
ZMPBE4A3YN5P,C101041,2017/06/25,51.93,unknown,chargeback,ref: ABC123
5PBT4QEVXGXF,C102146,20181109,162.38,cash,chargeback,auto-retry
A4X3D4TAJYYQ,C102102,16.06.2024,111.28,Card,pending,
ZKLF56Z4PKXH,C101171,2021-12-26,234.39,ideal,pending,śpec!al
37YGD1R3V6QG,C101866,2021-11-13,110.32,unknown,failed,chargeback - disputed
QJ46KMBUZLGZ,C100921,10-19-2021,323.89,bank_transfer,chargeback,chargeback - disputed
J7MLG8U6LIZH,C100388,20230908,435.99,unknown,Success,chargeback - disputed
EZJF99M9UDYJ,C100899,2022-09-27,49.35,credit,Success,partial
JHPEQB3WBWL7,C102185,20200127,686.19,credit,Success,chargeback - disputed
6AKB380WU3D1,C101818,2023/02/27,594.46,card,refunded,
ANPDCGR6YUAX,C101734,04-04-2021,521.56,card,Success,partial
SM8H3BWDGB80,C101640,06-17-2022,35.08,unknown,refunded,partial
DZOESTZ25ASR,C100255,20240614,115.0,BACS,pending,partial
VOVO2JHZN7P3,C101466,18-Feb-2022,140.56,unknown,chargeback,auto-retry
Y2SJRQVV0UC9,C101182,02.03.2021,"EUR 470,9",BACS,chargeback,partial
3FBGOFB1UGA4,C100507,20210206,533.35,bank_transfer,failed,chargeback - disputed
YBVLLYFUY9D3,C101939,10-28-2020,573.77,Card,pending,
EGW1TPG53R64,C100840,21.06.2025,335.39,cash,pending,ref: ABC123
292B8POXIOTW,C101803,2020-06-03,382.29,BACS,failed,auto-retry
YUKT5B1YM2EW,C101703,08-06-2022,"EUR 268,42",credit,refunded,
Q8Y8T8X70FEQ,C102024,20210623,285.51,bank_transfer,refunded,śpec!al
D92X4667FWUK,C100830,11.07.2023,242.9,cash,pending,partial
GSW66QRD5B5P,C100986,2017/08/20,444.87,BACS,Success,partial
M739LJUMHJP4,C100599,04-Jul-2017,399.95,ideal,chargeback,auto-retry
X4SPU4VLNS8K,C100486,28/03/2025,542.9,credit,failed,ref: ABC123
Y5AYGGRJC3WR,C102002,14-Nov-2025,501.13,bank_transfer,success,ref: ABC123
Z50V2W520H1Y,C101234,30/12/2023,108.37,unknown,Success,auto-retry
SP517XAYSQK1,C101619,06-Nov-2019,287.44,ideal,refunded,partial
Q90P02M4J9JP,C100507,2022/12/22,587.77,BACS,Success,ref: ABC123
GLWVXYADHDCZ,C100096,20170909,150.92,bank_transfer,refunded,
FDYZRDPZY0PO,C100314,09-08-2023,269.5,credit,chargeback,
XR5RM0H6DYZC,C100979,2018/01/13,460.99,credit,success,auto-retry
GBIFFZ794F91,C101508,10-21-2016,1112.95,Card,pending,ref: ABC123
80A8WKPAERZ0,C100205,12-Jan-2016,517.92,unknown,pending,partial
XZTROF848LIW,C101006,08/11/2025,"EUR 216,04",card,Success,śpec!al
R3VXSG8UJWG2,C101663,2023/08/11,143.14,unknown,Success,śpec!al
ZKHUVAE41HNT,C100933,10.11.2021,"EUR 288,44",card,success,chargeback - disputed
0MSETT9MHRDC,C100043,20250317,134.45,Card,pending,ref: ABC123
MAA9G5I75BII,C100697,2020-04-29,"EUR 412,01",Card,refunded,śpec!al
RC6O8K00O2RA,C101500,24-Apr-2021,91.25,bank_transfer,failed,śpec!al
KRBPENFY0OZZ,C100338,19/01/2021,127.05,ideal,success,auto-retry
S1LTUEECP6US,C101240,01/11/2018,203.11,Card,refunded,ref: ABC123
3IFQS2TKQGNC,C101375,2021-10-01,37.42,cash,failed,chargeback - disputed
RZNHP6545GCL,C102154,11-12-2022,219.6,cash,failed,
1KV8H3H38AHF,C101162,2023/02/05,290.24,Card,pending,
5RVY8ZL3TLO7,C101826,06-Dec-2023,391.24,ideal,Success,auto-retry
30BO9LO4JT54,C100544,2017/05/08,427.25,Card,failed,ref: ABC123
HZ35P35YC0YC,C101773,2024-01-06,796.66,bank_transfer,chargeback,chargeback - disputed
ODBG8FP1W2K9,C100810,09-Sep-2024,423.11,BACS,chargeback,ref: ABC123
4U4ZD38GGUG0,C101321,2019-05-02,478.65,unknown,failed,auto-retry
4Q8X87F9D8Y0,C100652,2020/03/02,882.96,credit,pending,partial
XLNQ36CJC055,C100883,17-Aug-2017,180.94,unknown,Success,partial
3TU65Q89VQF3,C101365,14-Jan-2019,"EUR 282,96",credit,refunded,auto-retry
4LB94XC8LFKV,C101238,2021-06-09,765.11,cash,failed,ref: ABC123
OXAJNI4DT3SO,C101636,2025-01-08,150.74,BACS,chargeback,
86Q5RCUUK7JR,C100971,30.07.2017,"EUR 210,08",credit,failed,
ES34DACZML0S,C101612,03-01-2024,186.11,BACS,failed,
X9W815QG8A33,C101818,21/09/2016,264.38,Card,success,ref: ABC123
6MP76ZHXV2L6,C101578,05-29-2021,"EUR 932,65",card,Success,ref: ABC123
KNQEA7M3LM7R,C100128,28-May-2018,261.09,credit,refunded,śpec!al
QOI444AHVDMA,C100411,2020-02-29,158.74,cash,Success,ref: ABC123
EF2Q093PC14P,C100037,12-12-2022,479.37,bank_transfer,failed,partial
B3JAO847ND99,C100518,29/10/2016,570.78,BACS,success,auto-retry
0QRS2WRKT7ZQ,C100857,05.08.2024,375.19,ideal,pending,ref: ABC123
SH283ZCGB9LP,C101514,08.05.2023,17.93,BACS,refunded,ref: ABC123
6OBNFSQSM59F,C101703,08.04.2016,301.06,BACS,refunded,ref: ABC123
8DIG4XENG74L,C100415,2025/02/05,394.81,BACS,pending,ref: ABC123
HRPSW1D31Y3W,C101098,05.03.2020,161.08,ideal,Success,auto-retry
9JF77NN3CA96,C100948,09.09.2022,751.63,bank_transfer,failed,
XXW7CG0MXKF5,C102168,22/07/2019,351.38,Card,success,ref: ABC123
UFMWCIPX84P3,C101049,10-07-2020,61.77,ideal,refunded,ref: ABC123
XKKKUOW6EAV9,C100862,20180528,284.95,unknown,chargeback,śpec!al
PS8XHVFBOHG6,C101299,27.08.2016,526.6,cash,success,partial
5DT1OZC0Q17E,C101268,07/01/2017,269.62,unknown,refunded,
4SJZTXHTIR1Q,C102175,30-Jun-2020,116.98,unknown,pending,śpec!al
2QSSBHFMQTQS,C101079,2019/03/01,79.32,BACS,Success,chargeback - disputed
GF71VV41SMTJ,C100114,2025/05/10,"EUR 97,57",Card,success,auto-retry
U8RJ3G2DMGR1,C100582,2024/07/24,326.76,BACS,pending,śpec!al
72PT3HIRBPY9,C101110,20171115,309.57,unknown,success,
AREJO023OYBF,C100474,2017-10-12,1140.79,Card,success,auto-retry
VFB6HTEEFJSN,C101047,19/03/2025,698.51,unknown,Success,ref: ABC123
1S6LCHNI7TQJ,C101530,15.03.2021,324.18,Card,refunded,
KONB984NOOJ5,C101041,28.05.2016,49.24,Card,chargeback,auto-retry
95RECW4YH6XW,C101864,2025/08/06,463.57,Card,refunded,
2O5W3S9QJ2KM,C101610,2017-11-06,510.64,cash,Success,śpec!al
VXCHU7BIS3AJ,C100564,06-21-2018,364.69,credit,pending,
DCU719DZ11SS,C101315,03-Apr-2020,559.9,bank_transfer,failed,auto-retry
HOV01E50UEHR,C100829,30/12/2022,718.82,cash,failed,ref: ABC123
