visit_id,customer_id,unit_id,visited_at,purpose
V1173428,C100567,#11,2020-03-14 13:36:00,inspection
V8571373,C101623,Unit 151,21/04/2024 17:56,delivery
V1557732,C100574,u1130,2023/07/12 11:53,move-out
V1967757,C101666,274A,25-Aug-2022 12:58AM,access
V9419455,C100058,Unit 347,2020-12-18 18:43:00,pickup
V7439770,C101311,u1414,2019/11/18 07:21,access
V8698377,C100616,Unit 105,20190117T053300,delivery
V3262148,C101462,U1455,2018/09/07 23:45,delivery
V0219206,C101015,440A,30/10/2020 09:12,inspection
V9664125,C100061,213A,31/01/2022 03:05,payment
V8006108,C100998,u1124,23/03/2019 02:35,inquiry
V3858048,C100493,U1327,2018-04-13 19:09:00,pickup
V1232612,C101711,u1078,2024/10/02 08:12,inspection
V6888757,C101939,#483,05/05/2022 21:04,pickup
V6975971,C100704,u1355,2021/10/27 20:02,inspection
V4771502,C102080,#417,20190522T035300,delivery
V2977519,C101751,#311,07/07/2020 16:12,delivery
V1191142,C100330,u1408,2023/06/09 17:47,pickup
V9271570,C100083,#357,01/08/2021 01:51,access
V3249478,C101791,440A,24-Aug-2025 07:34PM,delivery
V2210481,C101982,Unit 230,29-Jan-2023 02:56AM,inquiry
V7288673,C101404,#494,12-Apr-2022 02:32PM,inspection
V9528247,C101040,396A - ,15-Aug-2025 02:03PM,pickup
V1636276,C100149,#465,26-Mar-2020 09:25AM,pickup
V5172999,C101980,#152,20201212T164100,inspection
V8241366,C101148,#437,18-May-2021 08:26AM,delivery
V6851136,C101596,#11,2022-06-12 07:34:00,inquiry
V1244321,C100087,u1047,2021-11-10 14:43:00,access
V8412162,C100252,#301,2020/06/15 08:23,inquiry
V4933535,C101210,#385,20180512T210200,payment
V8260472,C101443,288A,20240327T070200,inspection
V2588310,C100632,u1277,2022-07-05 03:47:00,inquiry
V7316529,C101385,Unit 171,2018/01/02 12:03,pickup
V2984837,C101946,39A,28/11/2018 00:35,inquiry
V5725508,C101239,#7,2023/02/05 07:49,inspection
V2466583,C100921,u1027,20220703T233100,access
V8282601,C100054,Unit 260,2025/09/19 03:02,inspection
V2779416,C101226,u1069,20231021T034200,inquiry
V9722164,C102122,u1119,2025/03/07 04:42,delivery
V2584950,C100122,u1027,27-Feb-2020 02:00PM,move-out
V7439512,C101212,#473,20240309T164000,pickup
V6722664,C101604,224A,17-Jun-2020 07:35PM,pickup
V6471956,C100612,Unit 271,2018-12-15 16:25:00,pickup
V2564128,C100951,U1003,20230810T114900,delivery
V4835856,C101460,u1047,20221023T233300,move-out
V3774768,C100304,u1192,07/10/2022 02:36,pickup
V9487104,C102073,u1056,18/07/2025 22:13,payment
V7579155,C101828,u1467,20221021T193700,delivery
V9534066,C100177,U1376,06-Sep-2025 04:52AM,pickup
V1067296,C101019,#307,05--Jul-2020 06:16AM,payment
V9703020,C101807,#48,2019/11/25 22:15,move-out
V8183151,C101332,U1376,29-Nov-2024 02:28AM,inquiry
V9206138,C100010,U1006,2019/01/27 17:35,delivery
V8401663,C101825,28A,11/08/2023 07:37,access
V4137805,C101426,u1500,20230101T135800,delivery
V2981367,C101966,U1040,09/01/2025 05:40,pickup
V4382900,C100199,u1237,2024-03-17 15:01:00,delivery
V5928130,C101408,Unit 319,2025-06-13 00:46:00,access
V6653798,C100762,U1017,07/07/2025 04:44,delivery
V0999596,C101525,Unit 240,2024-06-08 04:53:00,payment
V5274669,C100933,U1349,12-Jul-2025 05:04PM,inspection
V0529791,C100751,386A,15-Nov-2020 01:30AM,inquiry
V8939349,C100795,u1276,02-Oct-2025 06:36PM,move-out
V6840737,C101177,U1023,2026-02-07  09:35:00,inspection
V6699096,C100734,u1414,27-Apr-2025 09:19PM,delivery
V1138153,C101795,Unit 315,10-Dec-2024 05:22AM,delivery
V6587161,C102194,u1218,2026/02/17 09:05,pickup
V2009271,C102055,u1192,20240930T232900,move-out
V3612715,C100206,Unit 8,26/12/2018 17:59,inquiry
V7792587,C100336,#272,2023/06/09 00:09,inquiry
V5614661,C101394,396A - ,25/02/2021 08:21,inspection
V0791882,C101095,U1472,01-Jun-2020 11:53PM,inquiry
V5025782,C100971,u1408,27-Apr-2018 04:26AM,delivery
V2207948,C101241,U1340,09-Apr-2024 07:57PM,move-out
V2585276,C100309,u1329,20190102T035200,delivery
V4130222,C100125,Unit 460,20180506T155800,payment
V3077862,C101023,#127,20190128T213600,payment
V4158938,C100904,Unit 316,2025/06/14 18:02,pickup
V4402909,C100173,Unit 132,2021-01-21 22:37:00,payment
V1358418,C101003,u1041,01-Oct-2021 10:31PM,move-out
V0164810,C101388,Unit 197,20200320T062100,payment
V6766157,C100756,Unit 67,15-Nov-2025 03:03AM,inspection
V7370731,C101944,u1102,2019-02-13 22:35:00,inquiry
V4444684,C100931,Unit 143,2025-03-17 18:36:00,payment
V1319163,C101486,u1198,20250722T123500,delivery
V8251456,C101859,#419,2024/09/12 22:48,inquiry
V9929456,C100286,U1402,2020-02-18 00:48:00,move-out
V0671896,C101983,Unit 73,20200223T184800,move-out
V7492594,C100523,#164,2023/06/24 17:08,pickup
V4140000,C100818,Unit 275,06/02/2025 14:10,inspection
V1559677,C102001,#12,2018-03-15 16:56:00,move-out
V5670565,C100363,Unit 401,20190527T210600,move-out
V6101899,C100754,#425,2025/05/23 13:33,access
V5463648,C101240,u1246,20220801T104600,delivery
V4345225,C100096,U1165,2024-06-08 07:00:00,delivery
V6878267,C102115,u1121,28-Oct-2021 07:20PM,inspection
V2844929,C102111,Unit 59,2021-07-22 20:56:00,access
V1681795,C102070,#253,10/01/2022 16:45,inquiry
V6526684,C101274,u1234,2023-10-17 04:37:00,access
V7208722,C101953,274A,30/04/2021 15:06,access
V6718406,C101641,304A,07-Mar-2025 04:25PM,inspection
V1525092,C100041,Unit 8,20240602T193000,payment
V6065874,C101554,145A,20251130T122800,pickup
V9080669,C100432,U1036,2020-03-01 10:08:00,payment
V7995062,C100039,u1414,11-Apr-2018 11:31PM,move-out
V0534552,C100453,378A,2025/12/21 14:13,payment
V7668996,C100994,112A,16/06/2018 19:38,access
V0887162,C101512,U1340,04/02/2018 18:50,move-out
V8251577,C100855,#485,2018/07/05 19:03,inquiry
V3137190,C100903,Unit 109,20250731T133000,pickup
V5647870,C101962,394A,20211026T124300,payment
V5727460,C101655,Unit 110,2022-03-03 02:55:00,delivery
V2889478,C101861,#471,06-Feb-2023 05:11PM,inquiry
V8462987,C101329,U1097,21-Dec-2018  04:55AM,pickup
V5144410,C100342,81A,23/12/2018 01:17,delivery
V2793468,C100331,82A,20241209T120200,move-out
V6337302,C101230,U1458,2019/07/23 06:08,inspection
V6821679,C100305,u1462,20-Apr-2025 09:50AM,payment
V8975474,C100304,147A,2023/07/22 15:37,delivery
V1535156,C101974,#473,23-Oct-2023 09:58PM,inspection
V4063643,C101467,493A,2023/02/17 22:47,access
V4288997,C100962,U1339,2018/11/10 15:51,delivery
V0279723,C101954,U1352,2022-07-26 06:02:00,payment
V5255138,C101439,U1149,2024-1-03 20:10:00,delivery
V8682998,C101756,#251,2020-01-15 23:51:00,move-out
V0592313,C100243,U1243,28/02/2024 05:41,move-out
V5398428,C100125,u1160,05/07/2021 06:34,pickup
V0746879,C100988,U1282,07-Jul-2025 05:55PM,pickup
V2486215,C100045,u1124,10/12/2021 14:44,access
V9016742,C100359,Unit 347,26-Nov-2021 10:23AM,inquiry
V0094846,C100328,u1276,12/06/2023 08:34,inquiry
V8996247,C100735,U1203,2025/11/15 22:31,inspection
V9319372,C101851,#7,2022-02-14 01:56:00,inspection
V4155503,C101820,257A,2019-02-18 04:59:00,pickup
V4584195,C100008,Unit 191,20240716T153600,delivery
V8422045,C100785,U1282,2024/04/28 13:04,pickup
V1689170,C100211,u1182,24-Dec-2024 03:33PM,inspection
V3954643,C100537,U1448,30/03/2023 09:48,move-out
V9799080,C101008,u1441,14/02/2025 18:42,move-out
V3586953,C101656,#473,2023-11-04 06:38:00,inspection
V3622040,C100560,u1303,15/01/2021 10:08,pickup
V4119888,C100489,344A,21-Jan-2019 02:38AM,pickup
V0312629,C101641,U1094 ,20181208T231500,payment
V5643758,C101286,412A,20220718T043600,delivery
V7131373,C101475,U1377,2026/02/18 21:58,inquiry
V7534001,C100350,u1389,2022-08-12 10:35:00,access
V9059378,C101614,u1408,20181024T114000,move-out
V0698318,C101059,427A,2020/05/12 17:22,delivery
V9303364,C101873,Unit 270,21/06/2019 00:08,move-out
V4202193,C100755,u1121,2024-04-21 09:03:00,delivery
V9638729,C100310,U1118,2025/09/15 23:42,pickup
V8883690,C100650,U1201,2018-03-18 19:49:00,inquiry
V9339092,C101400,U1033,20260112T055100,access
V8243023,C101399,#66,03-Nov-2024 12:54AM,access
V7688865,C100139,U1472,25/07/2021 22:03,move-out
V9303908,C101363,#31,20240414T220700,payment
V3763391,C101153,U1327,01-Jan-2023 03:48AM,move-out
V3650559,C101836,u1107,20191201T073400,pickup
V7018796,C101685,u1113,20250820T233900,move-out
V7123453,C100021,#253,20220125T221300,inspection
V1403158,C101911,U1180,12/07/2022 13:53,pickup
V2118968,C100395,#164,2019-02-10 04:19:00,access
V4972292,C100659,Unit 317,11-Jan-2024 04:59PM,inquiry
V2842005,C101571,#483,2019/03/22 02:51,move-out
V1133948,C101857,u1428,20210506T134100,delivery
V6498132,C100011,Unit 496,2019-04-06 09:23:00,access
V7710756,C100960,#300,2025/05/14 15:17,move-out
V0584610,C102116,u1374,2018-01-08 15:14:00,inspection
V0340883,C100951,Unit 106,20200808T220400,access
V7822915,C101744,Unit 341,2018-02-18 19:20:00,inquiry
V3708854,C101449,#322,2023/03/06 06:51,inspection
V4142618,C100245,#48,07-Oct-2018 12:51AM,delivery
V1346460,C100034,Unit 460,20211206T065000,inquiry
V5033820,C101852,Unit 286,11-Dec-2025 06:39PM,move-out
V7837095,C100030,U1009,20190103T070700,access
V6548842,C100411,#54,2018/07/25 13:46,delivery
V7083791,C101510,u1482,10-Jul-2019 06:24AM,delivery
V5471962,C100197,U1499,20210822T101900,payment
V3914833,C100982,263A,20201019T101700,pickup
V6430740,C102189,U1100,20220204T220400,payment
V4422707,C100600,#129,30-May-2020 01:52AM,move-out
V2940826,C101437,U1183,2018-03-05 22:05:00,pickup
V3250023,C100085,82A,28-May-2019 04:32AM,inspection
V8343158,C100642,486A,2025/02/23 05:26,access
V8417106,C101706,Unit 392,14-Mar-2026 01:27PM,move-out
V4232843,C100526,440A,2023/03/18 00:17,inspection
V4078613,C101751,u1374,2025/08/16 14:32,pickup
V4461909,C102137,u1500,04-Mar-2024 12:10AM,pickup
V9133244,C101036,u1047,18-Jun-2022 01:43AM,delivery
V8912943,C100880,U1023,26-Nov-2022 01:38AM,payment
V0374968,C101547,u1050,12-Apr-2025 06:14PM,move-out
V4364064,C100385,464A,20230518T182600,move-out
V4625097,C100379,#87,20230201T195400,delivery
V3898395,C100903,Unit 261,2021/10/10 14:08,inspection
V8488696,C100516,344A,20210114T164100,access
V2659281,C101389,#351,2022-07-20 11:52:00,inspection
V0579067,C101964,Unit 260,2018/11/20 17:17,pickup
V4270312,C100731,332A,02-Feb-2023 03:38AM,inspection
V6858934,C102088,U1352,2024/11/14 20:59,delivery
V3613597,C101632,u1462,12/06/2021 20:02,move-out
V5864108,C101130,#430,2019-03-28 02:15:00,inquiry
V6223079,C101851,u1044,09/12/2019 12:38,inquiry
V4721501,C100224,u1354,20220202T204900,move-out
V1168275,C100142,u1429,2021/01/12 03:25,inquiry
V8035836,C101699,332A,20200129T161700,inquiry
V3946087,C100516,112A,28/06/2023 08:00,delivery
V9012927,C101233,#12,11-Feb-2023 09:54AM,move-out
V4858315,C101869,Unit 415 - ,2021-03-15 07:52:00,delivery
V0674380,C101562,U1125,2021/08/11 00:38,move-out
V8411059,C102123,U1153,30-May-2024 07:08PM,pickup
V0315587,C100450,447A,16-Jun-2025 04:14PM,payment
V6861515,C100155,Unit 390,2023-09-16 04:21:00,delivery
V4015985,C101611,U1117,2025/12/03 16:42,inquiry
V6502815,C100058,u1265,14/12/2019 11:02,pickup
V4406560,C100567,U1025,03/06/2024 16:18,delivery
V5396677,C100097,37A,20231109T223600,pickup
V2527579,C100587,U1470,2022-08-17 01:44:00,payment
V7161088,C102147,u1353,2023-08-15 16:22:00,pickup
V8608195,C101202,u1205,2025/08/10 20:17,inquiry
V7155125,C100688,u1119,2022/05/13 19:08,payment
V3054167,C101926,u1408,28/01/2025 09:02,payment
V8984880,C101804,#281,08-Mar-2020 11:45PM,pickup
V9126060,C100871,Unit 341,22-Jul-2024 09:09PM,delivery
V4326564,C100959,u1408,20211120T181500,payment
V3729908,C101182,u1403 - ,2019-10-20 04:06:00,payment
V8651107,C101608,332A,17/07/2022 09:24,move-out
V6452036,C101869,U1184 ,20250503T172700,access
V8195794,C100711,451A,02/07/2019 03:01,move-out
V9691826,C100897,#438,20220228T123300,move-out
V4461403,C100175,u1276,2023/06/15 23:31,inquiry
V9122136,C102156,u1441,20190402T113600,payment
V6410390,C101900,#363,15/03/2019 21:47,payment
V8531753,C102067,#141,04-May-2021 06:28AM,inquiry
V3648527,C101610,U1321,16-Aug-2021 07:55AM,pickup
V4871438,C101493,#21,2019/06/06 22:20,delivery
V1919761,C101249,U1046,2021/07/22 21:53,access
V0785133,C101433,290A,03/02/2025 16:44,payment
V4529707,C102066,U1393,27-Jul-2024 01:48AM,delivery
V4032847,C101812,Unit 318,2024/02/11 00:17,access
V1379554,C101262,U1321,20190425T221100,inquiry
V7193906,C101405,u1050,2020-08-11 17:51:00,inspection
V0236569,C101342,#485,2018/02/18 12:50,move-out
V2559140,C100409,u1380,2021-10-25 08:25:00,payment
V3665163,C100445,#331,2022/02/14 19:11,access
V0932160,C100714,427A,16/08/2022 18:45,inquiry
V0360088,C101829,u1050,2018-09-10 04:09:00,move-out
V9684137,C101004,Unit 105,03-Mar-2022 09:37PM,delivery
V4578137,C100461,Unit 59,09-May-2025 12:19AM,access
V5205930,C100424,u1354,28-Feb-2019 09:35PM,access
V6053891,C100919,Unit 347,20250501T234500,inspection
V9805210,C100505,U1348,15/11/2019 13:17,inquiry
V1673394,C101194,39A,2021/07/01 21:11,move-out
V4178390,C102007,U1184 ,2019-03-23 03:12:00,inquiry
V9814772,C102195,#416,2023-06-12 17:25:00,inquiry
V5075112,C100469,Unit 390,2021/07/28 16:58,delivery
V1649609,C100059,Unit 297,20251109T194000,move-out
V1633076,C101798,u1231,20210417T200000,payment
V0208229,C101219,Unit 51,2018-04-12 07:52:00,access
V9108566,C102023,U1352,2023/09/15 02:55,payment
V2988275,C101560,u1308,17/01/2020 15:41,inspection
V5970372,C101502,#431,2022/05/04 21:01,move-out
V5787333,C100656,#140,26/10/2019 09:51,move-out
V7220925,C100518,u1384,2022/11/10 13:11,delivery
V7624876,C100504,U1468,20241105T202000,pickup
V2164027,C101847,#481,03/11/2024 11:59,move-out
V4665407,C101370,U1001,20250527T082600,access
V1023165,C101974,#157,14/01/2018 18:29,inspection
V8547784,C100771,u1174,2023-11-05 21:16:00,pickup
V9635133,C100300,U1439,2019/09/17 02:39,delivery
V3372759,C100674,#359,20230520T071500,move-out
V8775354,C101524,u1042,11/12/2022 20:47,access
V1987436,C100862,Unit 212,09-Sep-2024 03:38PM,payment
V6628875,C101635,Unit 88,05-Jun-2018 02:47PM,inquiry
V8077683,C100249,#477,30/04/2019 21:48,move-out
V5672118,C100232,#359,07-Sep-2018 01:08AM,payment
V5093073,C100504,410A,15/05/2024 07:14,move-out
V5248198,C101564,U1397,07/10/2023 18:29,inquiry
V3008626,C101619,U1258,21-Jul-2018 02:56AM,pickup
V7429192,C100974,Unit 114,20240710T014200,inspection
V8268945,C100481,#221,2020-09-09 19:22:00,inspection
V2813955,C101090,Unit 240,2018/07/24 08:18,move-out
V8035010,C100894,37A,26/07/2018 07:45,delivery
V7099407,C101186,#21,28/12/2024 18:48,inspection
V6294111,C101633,396A - ,04-Apr-2020 05:33AM,move-out
V6336859,C101171,#96,2018-01-20 10:05:00,move-out
V8349639,C100444,239A,01-Feb-2019 05:02PM,access
V1586858,C100289,u1403 - ,2024-06-10 19:19:00,move-out
V8071841,C101426,#494,20200604T204900,inspection
V7408557,C101407,Unit 269,20201221T190900,inspection
V6836005,C100452,#87,16-May-2023 03:32AM,inquiry
V2222781,C101245,Unit 450,2018-10-18 18:57:00,inquiry
V5571763,C101053,#223,2018-05-13 19:56:00,access
V8187782,C100108,86A,2019-05-25 06:07:00,delivery
V5721938,C101685,#43,20240615T164200,pickup
V1277692,C101785,U1457,2024-10-14 09:27:00,inquiry
V0258913,C100691,U1402,2024-11-24 10:13:00,pickup
V3995721,C100389,u1174,2025-06-06 06:03:00,delivery
V1387420,C101881,81A,27-Jan-2026 10:00PM,payment
V8132258,C100907,U1040,11-Jul-2019 02:39PM,move-out
V6570976,C101065,U1448,2023-06-12 06:44:00,access
V9717143,C100847,248A ,2019/05/13 11:12,delivery
V8386795,C100876,Unit 230,2018-12-26 11:52:00,access
V9364063,C100832,Unit 20,20190827T022300,delivery
V7470556,C101267,U1065,20240222T174500�,move-out
V4195991,C101577,18A,2024-04-14 07:33:00,inquiry
V0124606,C101572,u1277,08-Jul-2020 06:06AM,inspection
V3191542,C100209,u1250,20191215T064100,pickup
V5783491,C100751,Unit 179,2022/12/16 18:37,pickup
V4989789,C100133,u1044,06-Jul-2023 06:49AM,pickup
V2520868,C100990,#281,2020/02/04 07:12,payment
V5644240,C100721,u1089,2024/12/04 07:37,inspection
V0563594,C100424,u1312,19-Dec-2018 03:37AM,move-out
V8519725,C101087,Unit 143,2023-06-14 23:39:00,pickup
V5605725,C100256,U1052,28-Jul-2022 09:14PM,move-out
V1342277,C100223,U1001,2019/12/31 20:50,move-out
V4090100,C101016,#375,21-Dec-2018 10:06PM,inspection
V2300309,C100116,u1384,10-Sep-2021 02:06AM,move-out
V9149682,C101005,U1258,20231129T000000,payment
V6985120,C100820,Unit 315,11-Nov-2018 12:11AM,move-out
V2782567,C100337,u1278,20230427T035400,pickup
V4862520,C100485,U1149,15-Feb-2024 09:18AM,inquiry
V3867522,C102048,#437,2025-08-24 03:16:00,inquiry
V1652630,C101134,u1466,13/12/2019 00:03,payment
V9652302,C100482,#387,20200308T002000,inquiry
V8300935,C101947,#285,2024-04-15 19:03:00,inspection
V8167607,C101462,u1303,12/12/2019 09:23,payment
V6971278,C100109,Unit 55,2023/03/21 14:18,inspection
V6207408,C101414,#422,24-Jul-2019 11:21PM,inquiry
V3751730,C100358,Unit 106,20190904T190900,inquiry
V9657895,C100592,Unit 151,2021-01-28 19:47:00,delivery
V5780109,C101133,229A,08/07/2024 07:00,access
V4398113,C100104,Unit 255,18-Nov-2023 07:25AM,pickup
V4298826,C102135,196A,30/05/2018 12:25,inquiry
V1934657,C101359,358A,20/05/2023 21:30,inspection
V2053861,C101215,Unit 151,20231106T073700,payment
V8137133,C101462,Unit 318,15/03/2018 16:20,pickup
V3292868,C100580,u1089,20180222T081100,inspection
V3365279,C101795,Unit 13,2024/08/14 23:59,inspection
V2846345,C101164,u1061,16-Dec-2025 08:48PM,access
V4185563,C101087,#266,26/07/2023 05:35,inspection
V7433105,C101032,464A,21/01/2023 20:32,delivery
V3006345,C102151,U1203,2024-08-24 13:49:00,move-out
V3743415,C101064,207A,21/11/2022 04:31,payment
V3711710,C100602,#177,10-Mar-2025 08:18AM,payment
V4667673,C101932,#221,2025-10-25 17:33:00,inspection
V2590367,C100612,#251,2024/10/10 00:45,access
V0560837,C102180,u1370,2025/02/14 23:37,inspection
V7776937,C100837,133A,20210711T111900,inquiry
V3590845,C100352,u1462,20221012T152400,pickup
V3200058,C100955,337A,2023-08-22 13:33:00,payment
V4778142,C101430,#300,04-Jul-2018 08:48PM,access
V5774215,C101867,u1225,2022-02-01 18:33:00,move-out
V5098744,C100883,U1169,2021/09/12 14:12,inquiry
V4938314,C101667,45A,19/07/2019 06:45,move-out
V5439009,C101523,Unit 171,19-Nov-2020 02:57AM,payment
V9995571,C101672,#72,02-May-2023 11:12AM,inquiry
V5213357,C101449,85A,12/07/2025 21:58,payment
V9949158,C102156,399A,2023-08-22 14:45:00,pickup
V7909361,C102177,u1277,20240215T102800,payment
V1617479,C101445,U1006,12-Jan-2024 02:41AM,pickup
V9093623,C100266,#164,2024-12-07 15:07:00,payment
V5368569,C101681,u1237,2020/06/07 19:26,inquiry
V2285473,C101614,U1474,2020-05-16 17:10:00,inspection
V6000436,C101481,Unit 275,13/03/2025 10:54,move-out
V0339756,C100864,#66,2020/08/23 09:50,access
V0815019,C100649,#494,20191019T072900,inspection
V2781649,C100781,#138,2018-10-01 04:58:00,inquiry
V6249651,C100061,Unit 59,04/04/2022 03:47,delivery
V4992711,C100338,U1457,30/05/2018 14:00,inquiry
V4748802,C100040,#359,11-Jul-2024 07:59AM,pickup
V2607564,C100329,Unit 318,20250314T151300,access
V2522271,C101950,U1327,27/06/2022 10:50,move-out
V9016695,C101465,u1050,28/07/2021 16:10,move-out
V1380116,C101648,Unit 230,2024/05/16 10:25,inquiry
V7034737,C101000,U1100,25/05/2025 21:26,pickup
V3186567,C100930,U1064,20210402T062400,payment
V5937529,C100127,493A,2023-01-15 20:43:00,inspection
V4588769,C100550,#200,2020/10/26 11:41,move-out
V7689718,C101356,424A,26/09/2025 04:24,access
V9484829,C100902,#422,24/07/2021 20:14,payment
V0668454,C101028,449A,2022/01/08 10:29,delivery
V1787843,C101361,Unit 166,02-Jun-2024 09:23AM,move-out
V9183624,C101985,131A,2025-03-10 10:07:00,pickup
V0996085,C101994,u1167,2018/10/26 20:28,inquiry
V4730085,C100983,Unit 83,10/03/2026 01:17,move-out
V6165049,C101015,#443,20-Sep-2022 10:30AM,inquiry
V6457106,C101158,Unit 498,10/10/2020 01:39,move-out
V6019713,C100619,440A,04-Nov-2018 02:26AM,access
V3335783,C100551,#4,27-Mar-2024 06:12AM,delivery
V7303181,C101890,Unit 74 ,2021-05-10 01:37:00,inspection
V1422267,C101321,#199,19-Apr-2020 10:32PM,move-out
V0989967,C102026,Unit 179,02/09/2022 02:43,inquiry
V3871167,C100854,u1446,2019/01/22 07:16,access
V0650049,C100743,u1014,20240827T184300,inquiry
V5946699,C100032,#170 (old),2026/02/14 06:47,pickup
V8764116,C101503,Unit 273,2018/11/03 08:39,pickup
V4660649,C101015,U1433,2022-01-10 06:22:00,delivery
V0202648,C100827,295A,2021/02/16 12:47,delivery
V7480847,C100634,U1292,2019/10/04 07:14,access
V5393456,C102141,u1409,20210407T183800,payment
V6859515,C101155,U1397,2023-09-15 06:17:00,inspection
V1533665,C101068,u1467,20181029T165400,access
V9469369,C100743,213A,20180205T074300,inquiry
V9724868,C100856,#485,2021-02-24 11:20:00,inspection
V8680559,C100180,u1202,20230319T041000,inquiry
V5053784,C100891,u1370,20/08/2025 03:03,inspection
V6228005,C101256,U1371,20211130T175400,move-out
V7025319,C101099,Unit 67,12-Apr-2023 10:39PM,pickup
V8964359,C100218,u1198,05-Sep-2022 01:10PM,move-out
V4575309,C101769,#251,09/11/2023 16:12,access
V1364260,C100539,358A,2024/03/10 18:37,delivery
V9568636,C102122,U1002,20200123T024800,payment
V3226374,C101166,332A,10-Oct-2024 08:34PM,move-out
V3077245,C101231,Unit 362,28-Mar-2025 05:55AM,move-out
V3367067,C101386,Unit 498,18-Jun-2021 06:22AM,access
V8966117,C100772,u1232,2021-11-01 02:23:00,inspection
V0372496,C100149,16A,02-Aug-2025 02:26AM,payment
V6222336,C100038,U1349,14-Mar-2022 05:52AM,inquiry
V7323218,C101421,Unit 315,20250206T185200,pickup
