unit_id,canonical_unit_id,size_sqm,monthly_fee
U1097,U1097,5,147.34
98A,U1098,8,308.29
U1099,U1099,4,129.72
U1100,U1100,15,355.2
U1101,U1101,6,217.44
u1102,U1102,10,258.87
103A,U1103,12,319.46
U1104,U1104,4,87.89
Unit 105,U1105,8,125.74
Unit 106,U1106,5,109.96
u1107,U1107,12,205.68
108A,U1108,10,-262.04
Unit 109,U1109,4,126.4
Unit 110,U1110,12,285.54
Unit 111,U1111,4,71.96
112A,U1112,4,87.65
u1113,U1113,2,44.81
Unit 114,U1114,3,48.41
U1115,U1115,10,368.18
U1116,U1116,3,63.94
U1117,U1117,10,294.26
U1118,U1118,5,199.24
u1119,U1119,15,515.89
120A,U1120,15,339.52
u1121,U1121,4,86.46
U1122,U1122,3,75.64
Unit 123,U1123,5,162.87
u1124,U1124,15,384.43
U1125,U1125,3,49.47
126A,U1126,5,90.54
#127,U1127,12,328.14
#128,U1128,6,127.56
#129,U1129,15,581.54
u1130,U1130,1,26.76
131A,U1131,15,463.04
Unit 132,U1132,6,190.52
133A,U1133,5,176.7
U1134,U1134,6,235.53
135A,U1135,12,303.97
U1136,U1136,10,200.89
U1137,U1137,10,157.22
#138,U1138,5,76.71
139A,U1139,2,77.35
#140,U1140,5,163.18
#141,U1141,10,186.16
U1142,U1142,3,65.72
Unit 143,U1143,12,426.16
u1144,U1144,10,261.64
145A,U1145,8,306.57
u1146,U1146,8,291.2
147A,U1147,8,317.68
u1148,U1148,1,27.56
U1149,U1149,10,281.49
U1150,U1150,3,80.21
Unit 151,U1151,2,72.62
#152,U1152,10,158.97
U1153,U1153,4,103.4
u1154,U1154,10,323.5
Unit 155,U1155,5,121.86
u1156,U1156,3,58.13
#157,U1157,10,185.78
158A,U1158,1,37.53
#159,U1159,6,134.87
u1160,U1160,5,199.92
#161 (old),U1161,6,134.38
#162,U1162,1,36.63
Unit 163,U1163,10,343.94
#164,U1164,4,85.06
U1165,U1165,3,112.76
Unit 166,U1166,15,499.63
u1167,U1167,3,54.91
u1168,U1168,5,107.12
U1169,U1169,6,160.25
#170 (old),U1170,8,193.16
Unit 171,U1171,6,177.68
172A,U1172,4,62.5
U1173,U1173,4,123.54
u1174,U1174,2,32.27
#175,U1175,4,73.57
176A,U1176,12,356.2
#177,U1177,10,252.03
178A,U1178,10,387.64
Unit 179,U1179,12,198.17
U1180,U1180,10,315.69
u1181,U1181,6,238.32
u1182,U1182,12,355.91
U1183,U1183,15,328.98
U1184 ,U1184,3,94.58
u1185,U1185,1,21.63
186A,U1186,2,52.41
#187,U1187,4,64.34
U1188,U1188,10,165.21
189A,U1189,10,168.37
#190,U1190,5,154.13
Unit 191,U1191,12,316.11
u1192,U1192,12,309.02
193A,U1193,8,265.92
194A,U1194,3,50.03
u1195,U1195,6,173.46
196A,U1196,2,47.68
Unit 197,U1197,1,30.01
u1198,U1198,10,361.82
#199,U1199,5,103.27
#200,U1200,15,478.12
U1201,U1201,5,97.55
u1202,U1202,1,36.75
U1203,U1203,1,33.65
Unit 204,U1204,6,198.24
u1205,U1205,1,18.94
206A,U1206,8,241.42
207A,U1207,6,106.63
U1208,U1208,5,102.56
u1209,U1209,4,136.42
u1210,U1210,8,145.84
U1211,U1211,6,149.56
Unit 212,U1212,2,58.79
213A,U1213,2,31.04
U1214,U1214,6,155.51
215A,U1215,2,73.53
#216,U1216,2,61.66
u1217,U1217,6,125.44
u1218,U1218,2,77.56
219A,U1219,15,480.43
Unit 220,U1220,6,112.64
#221,U1221,5,82.02
Unit 222,U1222,1,35.79
#223,U1223,15,415.15
224A,U1224,1,37.73
u1225,U1225,12,467.32
#226,U1226,2,62.31
#227,U1227,12,362.94
#228,U1228,6,97.85
229A,U1229,12,265.24
Unit 230,U1230,3,51.11
u1231,U1231,8,239.01
u1232,U1232,6,190.52
U1233,U1233,12,373.81
u1234,U1234,3,70.63
U1235,U1235,3,67.18
U1236,U1236,12,378.58
u1237,U1237,3,58.56
U1238,U1238,10,252.71
239A,U1239,5,104.25
Unit 240,U1240,4,127.83
#241,U1241,8,225.49
Unit 242,U1242,3,48.91
U1243,U1243,12,265.52
244A,U1244,3,51.88
245A,U1245,1,16.33
u1246,U1246,6,94.23
u1247,U1247,3,47.87
248A ,U1248,10,303.84
#249,U1249,12,338.33
u1250,U1250,1,25.5
#251,U1251,10,284.01
252A,U1252,5,75.2
#253,U1253,2,78.73
#254,U1254,12,186.1
Unit 255,U1255,6,202.1
#256,U1256,2,66.76
257A,U1257,3,118.56
U1258,U1258,10,223.36
#259,U1259,5,124.78
Unit 260,U1260,4,95.7
Unit 261,U1261,2,51.85
u1262,U1262,6,164.43
263A,U1263,2,33.95
U1264,U1264,6,102.01
u1265,U1265,8,257.95
#266,U1266,6,239.72
267A,U1267,2,48.17
#268,U1268,3,95.86
Unit 269,U1269,6,147.43
Unit 270,U1270,6,156.59
Unit 271,U1271,6,127.44
#272,U1272,8,143.55
Unit 273,U1273,15,485.24
274A,U1274,2,38.63
Unit 275,U1275,6,196.43
u1276,U1276,3,104.53
u1277,U1277,3,104.28
u1278,U1278,12,363.58
#279,U1279,10,252.7
U1280,U1280,6,157.5
#281,U1281,12,234.59
U1282,U1282,1,27.95
Unit 283,U1283,4,154.75
#284,U1284,4,87.45
#285,U1285,3,115.62
Unit 286,U1286,15,540.95
#287,U1287,1,21.62
288A,U1288,1,37.22
289A,U1289,4,89.74
290A,U1290,10,201.01
291A,U1291,6,109.61
U1292,U1292,10,216.87
#293,U1293,8,203.63
Unit 294,U1294,15,296.19
295A,U1295,5,77.9
#296,U1296,4,95.29
Unit 297,U1297,10,284.17
298A,U1298,6,144.89
Unit 299,U1299,12,202.06
#300,U1300,15,269.55
#301,U1301,6,230.84
U1302,U1302,12,193.59
u1303,U1303,10,301.57
304A,U1304,3,119.3
#305,U1305,,326.95
U1306,U1306,6,236.98
#307,U1307,1,26.86
u1308,U1308,15,495.53
309A,U1309,15,280.42
u1310,U1310,2,30.95
#311,U1311,8,274.99
u1312,U1312,1,27.97
Unit 313,U1313,8,311.34
#314,U1314,5,135.52
Unit 315,U1315,5,163.11
Unit 316,U1316,12,266.34
Unit 317,U1317,8,310.92
Unit 318,U1318,2,76.2
Unit 319,U1319,12,459.91
u1320,U1320,15,315.92
U1321,U1321,1,25.33
#322,U1322,1,39.45
323A,U1323,10,312.63
U1324,U1324,1,31.31
u1325,U1325,1,25.45
326A,U1326,8,157.26
U1327,U1327,1,22.46
#328,U1328,10,281.08
u1329,U1329,5,176.1
U1330,U1330,3,100.25
#331,U1331,3,109.21
332A,U1332,2,63.46
U1333,U1333,4,86.08
#334,U1334,5,-165.36
U1335,U1335,1,26.63
U1336,U1336,5,154.84
337A,U1337,3,56.49
338A,U1338,12,407.21
U1339,U1339,15,422.06
U1340,U1340,2,71.44
Unit 341,U1341,3,109.09
U1342,U1342,10,374.72
343A,U1343,8,232.78
344A,U1344,1,-21.36
Unit 345,U1345,8,260.08
U1346,U1346,10,221.77
Unit 347,U1347,8,318.57
U1348,U1348,8,256.55
U1349,U1349,6,116.77
U1350,U1350,4,135.62
#351,U1351,8,195.86
U1352,U1352,4,63.22
u1353,U1353,1,20.15
u1354,U1354,1,33.51
u1355,U1355,1,27.6
#356,U1356,6,179.69
#357,U1357,3,61.58
358A,U1358,3,86.69
#359,U1359,8,183.75
360A,U1360,12,252.29
U1361,U1361,10,290.6
Unit 362,U1362,4,80.33
#363,U1363,2,66.23
U1364,U1364,15,552.61
u1365,U1365,12,323.82
u1366,U1366,1,38.43
u1367,U1367,10,323.91
Unit 368,U1368,6,147.1
369A,U1369,12,319.8
u1370,U1370,6,145.61
U1371,U1371,3,64.56
u1372,U1372,3,69.74
Unit 373,U1373,6,204.5
u1374,U1374,10,333.19
#375,U1375,3,119.27
U1376,U1376,2,68.22
U1377,U1377,3,61.4
378A,U1378,15,-472.23
#379,U1379,1,33.05
u1380,U1380,8,141.4
Unit 381,U1381,12,424.56
382A,U1382,8,233.0
U1383,U1383,2,34.68
u1384,U1384,1,17.07
#385,U1385,2,75.96
386A,U1386,15,326.66
#387,U1387,,377.43
#388,U1388,4,74.42
u1389,U1389,5,145.49
Unit 390,U1390,12,295.15
#391,U1391,2,67.27
Unit 392,U1392,2,60.26
U1393,U1393,6,185.12
394A,U1394,12,309.55
Unit 395,U1395,15,524.27
396A - ,U1396,3,68.75
U1397,U1397,5,91.56
U1398,U1398,8,125.25
399A,U1399,6,91.85
u1400,U1400,12,351.59
Unit 401,U1401,5,136.64
U1402,U1402,10,240.28
u1403 - ,U1403,15,396.7
404A,U1404,15,526.53
u1405,U1405,15,337.66
406A,U1406,3,117.65
u1407,U1407,15,347.21
u1408,U1408,15,447.09
u1409,U1409,10,259.61
410A,U1410,8,147.84
411A,U1411,8,134.79
412A,U1412,12,343.09
#413,U1413,12,371.45
u1414,U1414,6,187.05
Unit 415 - ,U1415,8,313.14
#416,U1416,12,354.16
#417,U1417,15,281.53
U1418,U1418,2,71.57
#419,U1419,4,108.29
U1420,U1420,6,135.04
u1421,U1421,2,76.5
#422,U1422,6,153.96
423A,U1423,3,74.67
424A,U1424,8,120.89
#425,U1425,2,35.09
U1426,U1426,10,215.59
427A,U1427,15,454.24
u1428,U1428,15,530.15
u1429,U1429,2,45.66
#430,U1430,3,74.13
#431,U1431,10,323.36
Unit 432,U1432,10,185.07
U1433,U1433,6,162.69
434A,U1434,10,321.17
#435,U1435,2,31.54
Unit 436,U1436,12,230.46
#437,U1437,12,213.96
#438,U1438,6,213.39
U1439,U1439,8,267.2
440A,U1440,1,21.57
u1441,U1441,2,40.49
442A,U1442,15,287.24
#443,U1443,1,23.77
Unit 444,U1444,5,146.59
u1445,U1445,2,78.14
u1446,U1446,3,63.73
447A,U1447,8,148.43
U1448,U1448,2,50.14
449A,U1449,10,-231.82
Unit 450,U1450,10,362.53
451A,U1451,4,86.85
452A,U1452,15,520.61
U1453,U1453,,181.06
u1454,U1454,8,319.14
U1455,U1455,5,156.82
U1456,U1456,3,74.73
U1457,U1457,2,30.05
U1458,U1458,10,152.02
459A,U1459,3,50.31
Unit 460,U1460,6,222.15
u1461,U1461,3,50.13
u1462,U1462,6,184.21
U1463,U1463,4,149.66
464A,U1464,6,137.18
#465,U1465,12,360.0
u1466,U1466,5,139.72
u1467,U1467,1,27.37
U1468,U1468,12,476.06
469A,U1469,15,362.03
U1470,U1470,2,-59.37
#471,U1471,8,177.3
U1472,U1472,8,248.11
#473,U1473,2,76.05
U1474,U1474,15,341.31
U1475,U1475,4,152.46
U1476 - ,U1476,3,45.95
#477,U1477,12,414.9
U1478,U1478,5,171.43
Unit 479,U1479,2,65.62
U1480,U1480,6,164.94
#481,U1481,,63.71
u1482,U1482,1,16.15
#483,U1483,1,35.08
484A,U1484,4,151.59
#485,U1485,2,63.67
486A,U1486,1,16.72
U1487,U1487,6,-172.96
#488,U1488,5,105.32
#489 - ,U1489,4,136.05
Unit 490 - ,U1490,,370.78
Unit 491,U1491,8,140.79
u1492,U1492,1,32.79
493A,U1493,12,390.25
#494,U1494,2,36.68
u1495,U1495,8,167.35
Unit 496,U1496,6,157.91
U1497,U1497,15,283.28
Unit 498,U1498,12,469.39
U1499,U1499,2,37.88
u1500,U1500,1,35.9
